userid	post	ques	ans	asker	ans1	severity1	bully1	ans2	severity2	bully2	ans3	severity3	bully3
aprilpooh15	Q: Did u watch bieber on oprah?<br>A: Well sortaa! I just got 2 wtch thee Charice part! Shes awesome <3 hbu?!	Did u watch bieber on oprah?	 Well sortaa! I just got 2 wtch thee Charice part! Shes awesome <3 hbu?!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Do you believe in life after death?<br>A: Yes of course i do... Its called Eternity with God in heaven!<3	Do you believe in life after death?	 Yes of course i do... Its called Eternity with God in heaven!<3	None	No	0	n/a	No	None	n/a	No	0	n/a
aprilpooh15	Q: Do you believe in luck?<br>A: Yes  bhut I think luck is blessing from God actually! in my opinioN!	Do you believe in luck?	 Yes  bhut I think luck is blessing from God actually! in my opinioN!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Do you believe there&#039;s intelligent life on other planets?<br>A: If God created them then hellz yes!	Do you believe there&#039;s intelligent life on other planets?	 If God created them then hellz yes!	None	No	0	n/a	No	None	n/a	No	0	n/a
aprilpooh15	Q: Do you consider yourself a good dancer?<br>A: Hahaha Bitch i bring it lmao! Kinda i think lmao! I hve some black in me so yes haha	Do you consider yourself a good dancer?	 Hahaha Bitch i bring it lmao! Kinda i think lmao! I hve some black in me so yes haha	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: do you have a bf??<br>A: Nope ;/ Bhut Not Having a BF doesnt mean The WORLD ends;] I guess im waiting 4 the 1  ya kno? Hbu mamas?!	do you have a bf??	 Nope ;/ Bhut Not Having a BF doesnt mean The WORLD ends;] I guess im waiting 4 the 1  ya kno? Hbu mamas?!	flywithme	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Do you have any favorite YouTube star?<br>A: I have 2 actually! Justin Bieber (ofcourse) &amp;&amp; Scipio Mondai!	Do you have any favorite YouTube star?	 I have 2 actually! Justin Bieber (ofcourse) &amp;&amp; Scipio Mondai!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: do you have any memories you&#039;d like to forget?<br>A: Actually i do!!! Just my whole experience with this fake a$$ friend!!</3	do you have any memories you&#039;d like to forget?	 Actually i do!!! Just my whole experience with this fake a$$ friend!!</3	None	No	1	fake a$$ friend!!</3	No	0	n/a	No	3	fake a$$ friend
aprilpooh15	Q: Do you have any piercings?<br>A: Yuppers! Nose and Cartilage piercings(;	Do you have any piercings?	 Yuppers! Nose and Cartilage piercings(;	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Do you have any scars on your body?  If so  how&#039;d you get them?<br>A: Hahaha. Strange!:S	Do you have any scars on your body?  If so  how&#039;d you get them?	 Hahaha. Strange!:S	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: do you like atlanta  GA ?<br>A: yes i love ATL!! great place 2 live  wish i lived there! ;D	do you like atlanta  GA ?	 yes i love ATL!! great place 2 live  wish i lived there! ;D	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: do you think that a size 10 is fat? i&#039;m trying to be a size 5 by the end of the year.<br>A: Omg NO WAY!!! 10 is actually small!!! Don't change thee way you look 4 ANYONE!!! bhut yourslf. Kay?!	do you think that a size 10 is fat? i&#039;m trying to be a size 5 by the end of the year.	 Omg NO WAY!!! 10 is actually small!!! Don't change thee way you look 4 ANYONE!!! bhut yourslf. Kay?!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: do you think you&#039;re a good friend?<br>A: Fuck yes i think i am! haha	do you think you&#039;re a good friend?	 Fuck yes i think i am! haha	None	No	0	n/a	No	0	n/a	No	None	N/A
aprilpooh15	Q: do you watch american idol? if so  who are you voting for this season?<br>A: Awww man you just reminded me! I wtch it sometimes bhut i love Big Mike! Pplz are really wrong bout letting Katie go!! Argh . .	do you watch american idol? if so  who are you voting for this season?	 Awww man you just reminded me! I wtch it sometimes bhut i love Big Mike! Pplz are really wrong bout letting Katie go!! Argh . .	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Do yuh have any stalkers?<br>A: Hell yes! Lots of them and thats including yuh!<3	Do yuh have any stalkers?	 Hell yes! Lots of them and thats including yuh!<3	None	No	0	n/a	No	None	N/A	No	0	n/a
aprilpooh15	Q: don&#039;t listen to the haters  you are pretty!<br>A: :D thank you gurl/boy ? I really appreciate it!<33	don&#039;t listen to the haters  you are pretty!	 :D thank you gurl/boy ? I really appreciate it!<33	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Favorite store?<br>A: ATM Rue 21;D Or Forever21 <3	Favorite store?	 ATM Rue 21;D Or Forever21 <3	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Fuck Justin bieber. He&#039;s a fucking fag<br>A: UM excuse yuh? HE IS NOT!! Ur a fuckin idiot! Kay? good	Fuck Justin bieber. He&#039;s a fucking fag	 UM excuse yuh? HE IS NOT!! Ur a fuckin idiot! Kay? good	None	Yes	1	Ur a fuckin idiot!	Yes	5	Ur a fuckin idiot	Yes	5	Ur a fuckin idiot
aprilpooh15	Q: growl;]<br>A: Meowl?;D If thts a word haha<3	growl;]	 Meowl?;D If thts a word haha<3	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: guesss who ;)<br>A: Idk hoe get cha own cup of blackberry with a hint of lemon ice tea. Dayumm! hahah JK Brooke?	guesss who ;)	 Idk hoe get cha own cup of blackberry with a hint of lemon ice tea. Dayumm! hahah JK Brooke?	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: -Haa you guessedd righhtttt:Dr its Maryyyy(: ahhh ilovee this picture!!!!!!!!!! mayb becuase youhr in it babe<3<br>A: Off courrseeee dudee hahahahaha!!!! Awhhh lol! i think i love it 2 chuz im in it lol!!!! jk! i love yuh!!	-Haa you guessedd righhtttt:Dr its Maryyyy(: ahhh ilovee this picture!!!!!!!!!! mayb becuase youhr in it babe<3	 Off courrseeee dudee hahahahaha!!!! Awhhh lol! i think i love it 2 chuz im in it lol!!!! jk! i love yuh!!	MariHicks	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: haaa its all qud  sorry abouht the &quot;hoe&quot; thinq  iwas mad lol<br>A: lmfao! haha! Nahh its my badd;)	haaa its all qud  sorry abouht the &quot;hoe&quot; thinq  iwas mad lol	 lmfao! haha! Nahh its my badd;)	PreciousNina	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: haha ;)so.. have u ever been to france?<br>A: Pfftt!! nahhh i hve never been outta this country!! Argh! hve yuh?! haha	haha ;)so.. have u ever been to france?	 Pfftt!! nahhh i hve never been outta this country!! Argh! hve yuh?! haha	zoeymason1994	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: haha check inside ur closet u mind find out who it is(;<br>A: Lmao!! kk lemme get my ass off this toliet seat then ill check!! Mwahah!! jk	haha check inside ur closet u mind find out who it is(;	 Lmao!! kk lemme get my ass off this toliet seat then ill check!! Mwahah!! jk	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: HAHA NOPE IM NOT TAQUISHA EITHER....i TALK TO YOU ALOT ON TWITTER;) <3<br>A: OMG!!!!! tell me!!!! ughh grrr rawrr bianca? LMAO! idkk TELL ME!	HAHA NOPE IM NOT TAQUISHA EITHER....i TALK TO YOU ALOT ON TWITTER;) <3	 OMG!!!!! tell me!!!! ughh grrr rawrr bianca? LMAO! idkk TELL ME!	None	No	0	None	No	0	n/a	No	0	n/a
aprilpooh15	Q: HAHAH GUESS WHO!? <3<br>A: Mary?! lol hahahaha	HAHAH GUESS WHO!? <3	 Mary?! lol hahahaha	None	No	None	N/A	No	0	n/a	No	0	n/a
aprilpooh15	Q: hahah okey dokey!..sweet thang(;<br>A: Mwahaha!!! Sweet thang! i love it!!	hahah okey dokey!..sweet thang(;	 Mwahaha!!! Sweet thang! i love it!!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Hahah. Funny how u defend that beiber kid.<br>A: &amp; its also funny how u stalked my whole twitter! Nice goin! BITCH!	Hahah. Funny how u defend that beiber kid.	 &amp; its also funny how u stalked my whole twitter! Nice goin! BITCH!	None	No	0	n/a	Yes	7	Bitch	Yes	4	BITCH
aprilpooh15	Q: HAHAHA NOPE! ...<br>A: Uhhhhh!!!! OMG! Taquisha? LOL!	HAHAHA NOPE! ...	 Uhhhhh!!!! OMG! Taquisha? LOL!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Have u ever licked thee floor?<br>A: Hahaha.. Yup!(: Its my job	Have u ever licked thee floor?	 Hahaha.. Yup!(: Its my job	None	No	0	n/a	Yes	4	ever licked thee floor	No	0	n/a
aprilpooh15	Q: have u seen JUSTIN BIEBER in person? (:<br>A: Nope:[ I wish  bhut hey i might someday rite haha..Hbu?!	have u seen JUSTIN BIEBER in person? (:	 Nope:[ I wish  bhut hey i might someday rite haha..Hbu?!	None	No	0	n/a	No	0	n/a	No	None	n/a
aprilpooh15	Q: Have you broken any bones?  If so  how?<br>A: Haha nahh ive just fractured some thumbs bhut itz all good lol	Have you broken any bones?  If so  how?	 Haha nahh ive just fractured some thumbs bhut itz all good lol	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: have you ever been on itellyouthat.com? go there and tell something to the world :D<br>A: Hahah OHKAY?!	have you ever been on itellyouthat.com? go there and tell something to the world :D	 Hahah OHKAY?!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: have you ever had your heart broken?<br>A: Yup yup!!:P	have you ever had your heart broken?	 Yup yup!!:P	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: hehe yup  it&#039;s awesome  but the pronunciation is incredibly haaard :D<br>A: haha!! it is haha lol!! man i hvnt even gotten 2 dat part yet! FML hah	hehe yup  it&#039;s awesome  but the pronunciation is incredibly haaard :D	 haha!! it is haha lol!! man i hvnt even gotten 2 dat part yet! FML hah	zoeymason1994	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Hello bitch! How&#039;s ur day going? Good I hope :) it&#039;s beautiful and sunny!<br>A: Ohh heyy bitchh!!! its goin good..:D thx 4 askin	Hello bitch! How&#039;s ur day going? Good I hope :) it&#039;s beautiful and sunny!	 Ohh heyy bitchh!!! its goin good..:D thx 4 askin	None	Yes	1	Hello bitch!	No	0	n/a	No	0	n/a
aprilpooh15	Q: Hello. My friend is also named April.<br>A: Nicee!	Hello. My friend is also named April.	 Nicee!	None	No	0	n/a	No	0	n/a	No	None	None
aprilpooh15	Q: Hello?<br>A: Hey  hows yah momma?!	Hello?	 Hey  hows yah momma?!	None	No	1	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: -Hellz yeahh(: of course i&#039;m qoinqq i wannah b with you quy&#039;s  like duhh<3<br>A: ahahaha!!!(: It wuzz funn!(: lmao<3	-Hellz yeahh(: of course i&#039;m qoinqq i wannah b with you quy&#039;s  like duhh<3	 ahahaha!!!(: It wuzz funn!(: lmao<3	MariHicks	No	0	n/a	No	0	n/a	No	None	N/A
aprilpooh15	Q: Hey my name is April too! Haha. People named April are always cool. LOL.<br>A: Hahaha!!! Ohh cool wait are yuh thee april on twitter?! april2? haha yay! We beasts yo! haa	Hey my name is April too! Haha. People named April are always cool. LOL.	 Hahaha!!! Ohh cool wait are yuh thee april on twitter?! april2? haha yay! We beasts yo! haa	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: hey you&#039;re an amazing nice and sweet girl..pretty too!<br>A: Awwhhh!!!Thank yuh Jacob ur really nice!!! Might be my new bestie <33 Thank YUH SO MUCH!	hey you&#039;re an amazing nice and sweet girl..pretty too!	 Awwhhh!!!Thank yuh Jacob ur really nice!!! Might be my new bestie <33 Thank YUH SO MUCH!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Hey. Why you such a bitch?<br>A: Why thank yuh!	Hey. Why you such a bitch?	 Why thank yuh!	None	Yes	3	"""""""why you such a bitch?"""""""	Yes	5	"""""""Bitch"""""""	Yes	9	Why you such a bitch?
aprilpooh15	Q: Heyyy Abrilll(:!!! iloveyhuuu<3 muchooo!!<br>A: Heyy Marribbbiii!! lmao! iloveyuhhh muchooo moeee!!!;) are yuh goin tmrw?!	Heyyy Abrilll(:!!! iloveyhuuu<3 muchooo!!	 Heyy Marribbbiii!! lmao! iloveyuhhh muchooo moeee!!!;) are yuh goin tmrw?!	MariHicks	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: heyyyyyy!!! how u doin!!!!!<br>A: Im doing good thankyuh!!!Heyyy hbu?!	heyyyyyy!!! how u doin!!!!!	 Im doing good thankyuh!!!Heyyy hbu?!	MrsNinja	No	0	n/a	No	None	N/A	No	0	n/a
aprilpooh15	Q: heyyyyyyyy!!!!wats up!?!?(*)-)<br>A: Heyy ghurrr!!! Wuzz upp!! haha nuttin much just busyy!! hbu ma?	heyyyyyyyy!!!!wats up!?!?(*)-)	 Heyy ghurrr!!! Wuzz upp!! haha nuttin much just busyy!! hbu ma?	MrsNinja	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Hi April!!!<br>A: Heyy :D	Hi April!!!	 Heyy :D	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: how many languages do u speak?<br>A: Umm.. i think 2 bhut english is my first! im learnin french! ;d hbu?!	how many languages do u speak?	 Umm.. i think 2 bhut english is my first! im learnin french! ;d hbu?!	zoeymason1994	No	0	n/a	No	None	None	No	None	n/a
aprilpooh15	Q: how old are u ? And how do you know michael?<br>A: Who the hell are yuh!!! And who tha fuck is michael!?	how old are u ? And how do you know michael?	 Who the hell are yuh!!! And who tha fuck is michael!?	None	Yes	10	Who the hell are yuh!!! And who tha fuck is michael!?	Yes	2	Who the hell are yuh!!! And who tha fuck is michael!?	No	None	None
aprilpooh15	Q: How would you describe your personality?<br>A: Hmmm...personal? root word.. lol umm probss... bubbly  nice  honest(sumtyms)	How would you describe your personality?	 Hmmm...personal? root word.. lol umm probss... bubbly  nice  honest(sumtyms)	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: How would you describe yourself in 3 words?<br>A: Myself Bubbly Funny?	How would you describe yourself in 3 words?	 Myself Bubbly Funny?	None	No	0	n/a	No	0	n/a	No	0	None
aprilpooh15	Q: i love your hair.<br>A: iLoveYou! Thanks alot! Bhut its alot 2 keep up wit! Wanna trade haha!	i love your hair.	 iLoveYou! Thanks alot! Bhut its alot 2 keep up wit! Wanna trade haha!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: i love youu chica!<33<br>A: NO no no! I Love youuu moreee<333 ;D haha!!	i love youu chica!<33	 NO no no! I Love youuu moreee<333 ;D haha!!	None	No	0	n/a	No	0	n/a	No	1	n/a
aprilpooh15	Q: i love youuuuuuu (:<br>A: iFUCKINLoveyou!!!<33 xox ha!	i love youuuuuuu (:	 iFUCKINLoveyou!!!<33 xox ha!	hollyrebekah	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: i speak english frensh and a little arabic cuz i&#039;ve been to egypt a lotta times :D<br>A: OMG! really?! cool thats so awesome! yeah i wanna learn more languages bhut french is already enuff 2 deal wit! ha	i speak english frensh and a little arabic cuz i&#039;ve been to egypt a lotta times :D	 OMG! really?! cool thats so awesome! yeah i wanna learn more languages bhut french is already enuff 2 deal wit! ha	zoeymason1994	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: I think ur not pretty. Sorry.<br>A: Oh thats wht i think too! dnt be sorry hahaha! Silly goose	I think ur not pretty. Sorry.	 Oh thats wht i think too! dnt be sorry hahaha! Silly goose	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: i&#039;m bored can you tell me something funny? lool<br>A: Hahah!! ohhkayy?!?! lol Wht do you call a deer with no eyes? I have no ideer! haha Classic  umm i suck at this haha	i&#039;m bored can you tell me something funny? lool	 Hahah!! ohhkayy?!?! lol Wht do you call a deer with no eyes? I have no ideer! haha Classic  umm i suck at this haha	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: IF U LIVE FOREVER WAT DO U LIVE FOR?????<br>A: IDKKK!!!GOD?! Not understndin this ? srry its like 3am hah	IF U LIVE FOREVER WAT DO U LIVE FOR?????	 IDKKK!!!GOD?! Not understndin this ? srry its like 3am hah	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could ask Barack Obama one question what would it be?<br>A: Oh snap!! I would actually hug him first off ahah and say &quot;Nigga where my weed go?&quot; Hahaha jkjkjk i love him!! He is doin a great job!	If you could ask Barack Obama one question what would it be?	 Oh snap!! I would actually hug him first off ahah and say &quot;Nigga where my weed go?&quot; Hahaha jkjkjk i love him!! He is doin a great job!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could ask George W. Bush one question what would it be?<br>A: Are you a lonely boy?	If you could ask George W. Bush one question what would it be?	 Are you a lonely boy?	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could be a star athlete in any sport  which sport would you pick?<br>A: Basketball<3	If you could be a star athlete in any sport  which sport would you pick?	 Basketball<3	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could be invited to one person&#039;s birthday party  whose would it be?<br>A: JUSTIN BIEBER's Bday parrtayy! haha	If you could be invited to one person&#039;s birthday party  whose would it be?	 JUSTIN BIEBER's Bday parrtayy! haha	None	No	0	n/a	No	0	n/a	No	1	n/a
aprilpooh15	Q: If you could be on one TV show which one would it be?<br>A: Keeping up with the Kardashians! or Kendra! My FAV shows atm!:D	If you could be on one TV show which one would it be?	 Keeping up with the Kardashians! or Kendra! My FAV shows atm!:D	None	No	None	N/A	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could become any fictional character  who would you be?<br>A: Errmm...Harry potter? lol	If you could become any fictional character  who would you be?	 Errmm...Harry potter? lol	None	No	0	n/a	No	None	n/a	No	None	N/A
aprilpooh15	Q: If you could change your name  what would you change it to?<br>A: Thats a hard 1 . . . *thinkin* Maybe Bustin Jieber? I think! haha	If you could change your name  what would you change it to?	 Thats a hard 1 . . . *thinkin* Maybe Bustin Jieber? I think! haha	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could date any celebrity  who would it be?<br>A: Justin Bieber or Channing Tatum! haha yumm!	If you could date any celebrity  who would it be?	 Justin Bieber or Channing Tatum! haha yumm!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could eat dinner with any person  dead or alive  who would it be and where would you go?<br>A: Michael Jacko and Subway! Doh!	If you could eat dinner with any person  dead or alive  who would it be and where would you go?	 Michael Jacko and Subway! Doh!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could eliminate one thing you do each day in the bathroom so you never had to do it again  what would it be?<br>A: Put my towels back on the fckn rack! lol im 2 lazy 2 do it bhut it looks trashy when i keep it on tha floor.	If you could eliminate one thing you do each day in the bathroom so you never had to do it again  what would it be?	 Put my towels back on the fckn rack! lol im 2 lazy 2 do it bhut it looks trashy when i keep it on tha floor.	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could go back in time 10 years and tell your younger self something  what would it be?<br>A: Life is never going to be easy.	If you could go back in time 10 years and tell your younger self something  what would it be?	 Life is never going to be easy.	None	No	0	n/a	No	0	n/a	No	0	N/A
aprilpooh15	Q: If you could go on a road trip with any person  dead or alive  who would it be and where would you go?<br>A: Justin Bieber.Duh. &amp;&amp; Russia! ;]	If you could go on a road trip with any person  dead or alive  who would it be and where would you go?	 Justin Bieber.Duh. &amp;&amp; Russia! ;]	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could go on vacation for the next month with an unlimited budget  where would you go?<br>A: I would so travel thee world  Visit my overseas besties then shop everywhere!<3	If you could go on vacation for the next month with an unlimited budget  where would you go?	 I would so travel thee world  Visit my overseas besties then shop everywhere!<3	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could have an endless supply of any food  what would you get?<br>A: Strawberry-Banana Smoothies from Jack in the Box ;D Yah dig?	If you could have an endless supply of any food  what would you get?	 Strawberry-Banana Smoothies from Jack in the Box ;D Yah dig?	None	No	0	None	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could have been the author of any book  what would it have been?<br>A: ALL thee twilight books chuz she got some good mula baby!	If you could have been the author of any book  what would it have been?	 ALL thee twilight books chuz she got some good mula baby!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could make one person fall in love with you who would it be?<br>A: My Orthodontist docotr hahahaha!!! Jkjk or am i lmao!	If you could make one person fall in love with you who would it be?	 My Orthodontist docotr hahahaha!!! Jkjk or am i lmao!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could master one skill what would it be?<br>A: To never sin bhut will NEVER happen! See im already sinning  Never say never!	If you could master one skill what would it be?	 To never sin bhut will NEVER happen! See im already sinning  Never say never!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could only listen to one song for the next month  which would it be?<br>A: Up-Justin Bieber	If you could only listen to one song for the next month  which would it be?	 Up-Justin Bieber	None	No	None	N/A	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could only read one magazine for the rest of your life  which would it be?<br>A: MMMag i love it!	If you could only read one magazine for the rest of your life  which would it be?	 MMMag i love it!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could rid the world of one thing  what would it be?<br>A: HOE-ISHNESS! lol um prob. stupid bitches and SIN! i just sinned!Opppzz	If you could rid the world of one thing  what would it be?	 HOE-ISHNESS! lol um prob. stupid bitches and SIN! i just sinned!Opppzz	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: If you could wake up as anyone tomorrow  who would it be?<br>A: MySelf!(:	If you could wake up as anyone tomorrow  who would it be?	 MySelf!(:	None	No	0	n/a	No	0	n/a	No	0	n/a
